id	z	HR	HR.95L	HR.95H	pvalue
TRIP10	4.33708418222693	1.06564585948683	1.03546256996615	1.09670897894315	1.44385336089555e-05
FOLR1	4.18605780818396	1.02014716801381	1.01066397371639	1.02971934438284	2.83841087671419e-05
HAND1	3.98954486137928	1.03760395682893	1.01895659409199	1.05659257466845	6.62001983919429e-05
NGFR	3.92662485346201	1.16707280485343	1.08045377848035	1.26063600216586	8.6146184061514e-05
RSPO4	3.38445268918269	1.18161256156801	1.0727639774745	1.30150552681893	0.000713203088516315
GDI1	3.25846185135141	1.03280678389662	1.01294673203176	1.05305621621715	0.00112017936004525
TPM2	3.25205244552338	1.00126954287579	1.00050421529308	1.00203545588962	0.00114574878688382
SNCG	2.86651283483447	1.05588491566575	1.01734642176158	1.09588330118661	0.00415021330165211
SPAG4	2.85783232670156	1.09987496595925	1.03036041424751	1.17407940368842	0.00426545718793812
SRMS	2.85672709945738	1.05408236381894	1.0166714136608	1.09286994281991	0.00428033679432041
MIR200B	2.81281031641471	1.03676456332361	1.01100716243566	1.06317818478562	0.00491106116766605
SLC48A1	2.80471289862614	1.13728998910629	1.03950791522824	1.24427000542597	0.00503614161172258
PPP1R14A	2.71528548840098	1.01922685840069	1.00531170028827	1.03333462505953	0.00662186595536199
SLC39A14	-2.70489153113072	0.974618505294543	0.956630546980461	0.992944699352122	0.00683266962525838
CCDC8	2.64524775184396	1.1803691229123	1.0438956838505	1.33468438262484	0.00816311244773733
PCP4L1	2.57649751587533	1.05213089444305	1.0122344306164	1.09359984758414	0.00998069226539387
ESCO2	-2.36540579751044	0.830721206702756	0.712387581338288	0.968711051881713	0.0180103245428252
UBA7	2.36196288156683	1.03352326120118	1.00562778443164	1.06219254079939	0.0181784622171328
MAPK8	-2.34029397715639	0.813519744215673	0.68438835877484	0.967015826238603	0.019268566143704
UCP2	2.32587077726507	1.01200957013867	1.00187985932398	1.02224169946217	0.0200254454194955
HBA2	2.19821542976315	1.01282360412848	1.00138199181981	1.02439594626182	0.0279337576366498
TMCO6	2.11394956445716	1.14072691265225	1.0096370116927	1.2888373486502	0.0345195752605082
C2CD2L	2.01049565972961	1.1703231345476	1.00396088691693	1.36425258902607	0.0443787551243792
SLC2A2	-1.99314162878571	0.00233574062286381	6.03467907583998e-06	0.904055408536675	0.0462459406885566
ELF1	-1.9865011032099	0.983267113122855	0.967032180818037	0.999774604120309	0.0469777104586953
