"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"MF","GO:0015267","channel activity","34/570","489/18410",1.03300157268208e-05,0.000533370483630538,0.000476745983567608,"57127/169522/80333/353174/3761/79400/1262/9635/10021/2890/3788/79054/26251/22953/56923/9629/375318/57113/342125/119395/779/10804/8542/3776/2903/441168/170572/126755/3742/2568/3736/3746/55503/2560",34
"MF","GO:0038187","pattern recognition receptor activity","7/570","26/18410",1.0356172466169e-05,0.000533370483630538,0.000476745983567608,"57115/93978/338339/114771/114770/51311/1755",7
"MF","GO:0022803","passive transmembrane transporter activity","34/570","490/18410",1.07835401045054e-05,0.000533370483630538,0.000476745983567608,"57127/169522/80333/353174/3761/79400/1262/9635/10021/2890/3788/79054/26251/22953/56923/9629/375318/57113/342125/119395/779/10804/8542/3776/2903/441168/170572/126755/3742/2568/3736/3746/55503/2560",34
"MF","GO:0005126","cytokine receptor binding","23/570","272/18410",1.39029823011715e-05,0.000638544115689518,0.000570754010258618,"64109/3458/4283/5197/65997/6370/3627/246778/4049/3593/3596/6373/3626/356/3594/10563/6846/59067/27177/6367/112744/50616/4282",23
"MF","GO:0022836","gated channel activity","26/570","340/18410",2.30103985588748e-05,0.000986379084890431,0.000881661586887412,"169522/80333/353174/3761/1262/9635/10021/2890/3788/79054/26251/22953/56923/9629/342125/119395/779/3776/2903/170572/126755/3742/2568/3736/3746/2560",26
"MF","GO:0005179","hormone activity","14/570","122/18410",2.5157668514321e-05,0.00101102380341927,0.000903689934790741,"7066/4880/885/1325/55908/56729/2797/6370/11172/3626/3060/3641/257313/2520",14
"MF","GO:0016493","C-C chemokine receptor activity","6/570","23/18410",5.52364036741408e-05,0.00202997947218702,0.0018144696600051,"1235/10663/1237/1234/51554/643",6
"MF","GO:0008528","G protein-coupled peptide receptor activity","15/570","148/18410",5.68267970441156e-05,0.00202997947218702,0.0018144696600051,"1235/6753/2692/10663/4987/2740/56923/1237/1234/2642/51554/2837/84109/643/2847",15
"MF","GO:0042277","peptide binding","24/570","322/18410",7.05918280098101e-05,0.0023061737084476,0.00206134213769729,"28674/28653/6753/28682/910/28672/28673/28664/2692/2890/4987/1215/1393/2740/56923/2642/28577/909/2903/972/3122/3119/206338/2847",24
"MF","GO:0019957","C-C chemokine binding","6/570","24/18410",7.17316861103454e-05,0.0023061737084476,0.00206134213769729,"1235/10663/1237/1234/51554/643",6
"MF","GO:0005261","cation channel activity","25/570","345/18410",7.90109950576208e-05,0.00241924142009763,0.00216240618052436,"57127/169522/80333/3761/79400/1262/10021/2890/3788/79054/26251/22953/9629/57113/119395/779/3776/2903/441168/170572/126755/3742/3736/3746/55503",25
"MF","GO:0001653","peptide receptor activity","15/570","154/18410",8.96323732102931e-05,0.00261970981700993,0.00234159214224019,"1235/6753/2692/10663/4987/2740/56923/1237/1234/2642/51554/2837/84109/643/2847",15
"MF","GO:0046982","protein heterodimerization activity","24/570","332/18410",0.000113341460363107,0.00292642030627532,0.00261574115941119,"57115/3605/9568/3848/8332/8354/8968/5296/8335/3593/114/114771/85235/8352/8356/8362/8346/8366/112744/225/8360/8368/64241/336",24
"MF","GO:0001637","G protein-coupled chemoattractant receptor activity","6/570","26/18410",0.000116400422965754,0.00292642030627532,0.00261574115941119,"1235/10663/1237/1234/51554/643",6
"MF","GO:0004950","chemokine receptor activity","6/570","26/18410",0.000116400422965754,0.00292642030627532,0.00261574115941119,"1235/10663/1237/1234/51554/643",6
"MF","GO:0008009","chemokine activity","8/570","49/18410",0.000118331147687649,0.00292642030627532,0.00261574115941119,"4283/5197/6370/3627/6373/10563/6846/6367",8
"MF","GO:0045236","CXCR chemokine receptor binding","5/570","18/18410",0.000171360470353725,0.00408091786805353,0.00364767317010269,"4283/5197/3627/6373/10563",5
"MF","GO:0046873","metal ion transmembrane transporter activity","27/570","428/18410",0.000401667412112821,0.00922400521387656,0.00824475214336843,"169522/80333/3761/389015/6531/6559/10021/6528/3788/79054/26251/491/6547/9629/6540/57113/779/492/3776/2903/64078/284111/126755/3742/3736/3746/55503",27
"MF","GO:0019956","chemokine binding","6/570","33/18410",0.000465880511966208,0.0103296954894576,0.0092330584222704,"1235/10663/1237/1234/51554/643",6
"MF","GO:0005249","voltage-gated potassium channel activity","10/570","91/18410",0.000506331821590328,0.0108523787094194,0.00970025173994103,"169522/3761/10021/3788/26251/3776/126755/3742/3736/3746",10
"MF","GO:0004623","phospholipase A2 activity","6/570","34/18410",0.000551074588177981,0.0114303535547885,0.0102168667281894,"5319/5920/80339/26279/50487/5320",6
"MF","GO:0023023","MHC protein complex binding","6/570","36/18410",0.000757377974264127,0.0152185636703698,0.0136029070377702,"3821/925/972/3824/3122/3119",6
"MF","GO:0033218","amide binding","25/570","402/18410",0.000798271542131827,0.0152387673667502,0.0136209658381691,"28674/28653/6753/28682/910/28672/28673/28664/2692/2890/4987/1215/1393/2740/56923/2642/28577/909/2903/972/3122/3119/80339/206338/2847",25
"MF","GO:0034987","immunoglobulin receptor binding","9/570","80/18410",0.000805782411305609,0.0152387673667502,0.0136209658381691,"3497/338339/28639/28454/57289/3502/3500/102723168/3503",9
"MF","GO:0015079","potassium ion transmembrane transporter activity","13/570","154/18410",0.00102194194428778,0.0187745334336297,0.0167813624535677,"169522/80333/3761/389015/6559/10021/3788/26251/3776/126755/3742/3736/3746",13
"MF","GO:0047498","calcium-dependent phospholipase A2 activity","4/570","16/18410",0.00122983562710756,0.0219662307841712,0.0196342179064541,"5319/26279/50487/5320",4
"MF","GO:0005267","potassium channel activity","11/570","121/18410",0.00134450490271758,0.0233653149310109,0.0208847703238634,"169522/80333/3761/10021/3788/26251/3776/126755/3742/3736/3746",11
"MF","GO:0005244","voltage-gated ion channel activity","15/570","201/18410",0.00153115049800221,0.0247620939931548,0.0221332623725342,"169522/80333/3761/10021/3788/26251/9629/119395/779/3776/2903/126755/3742/3736/3746",15
"MF","GO:0022832","voltage-gated channel activity","15/570","201/18410",0.00153115049800221,0.0247620939931548,0.0221332623725342,"169522/80333/3761/10021/3788/26251/9629/119395/779/3776/2903/126755/3742/3736/3746",15
"MF","GO:0042379","chemokine receptor binding","8/570","71/18410",0.00154041020175147,0.0247620939931548,0.0221332623725342,"4283/5197/6370/3627/6373/10563/6846/6367",8
"MF","GO:0022843","voltage-gated cation channel activity","12/570","144/18410",0.00175798511762926,0.0275703519667222,0.0246433857310802,"169522/3761/10021/3788/26251/779/3776/2903/126755/3742/3736/3746",12
"MF","GO:0015276","ligand-gated ion channel activity","12/570","145/18410",0.0018641699285444,0.0278758433500942,0.0249164450669582,"353174/3761/1262/9635/10021/2890/79054/22953/2903/170572/2568/2560",12
"MF","GO:0022834","ligand-gated channel activity","12/570","145/18410",0.0018641699285444,0.0278758433500942,0.0249164450669582,"353174/3761/1262/9635/10021/2890/79054/22953/2903/170572/2568/2560",12
"MF","GO:0042834","peptidoglycan binding","4/570","18/18410",0.00196855147387522,0.0287676954023128,0.0257136149458342,"57115/114771/114770/5068",4
"MF","GO:0030594","neurotransmitter receptor activity","10/570","111/18410",0.00234546314888651,0.0335140623274228,0.0299560907436734,"3362/353174/2890/1133/1816/59340/2903/170572/2568/2560",10
"MF","GO:0015026","coreceptor activity","6/570","47/18410",0.00313380767042266,0.0438051811322124,0.039154667918782,"23547/10663/1237/1234/925/115350",6
