model,gene,auc
1,TRIP10 + NGFR + SPAG4 + RSPO4,0.667252754614864
2,TRIP10 + NGFR + SPAG4 + GDI1,0.669545576027448
3,TRIP10 + NGFR + SPAG4 + SLC48A1,0.717245768394579
4,TRIP10 + NGFR + SPAG4 + FOLR1,0.663421919919267
5,TRIP10 + NGFR + SPAG4 + SRMS,0.681488411154579
6,TRIP10 + NGFR + RSPO4 + GDI1,0.649996962170293
7,TRIP10 + NGFR + RSPO4 + SLC48A1,0.705614594455381
8,TRIP10 + NGFR + RSPO4 + FOLR1,0.646896798801283
9,TRIP10 + NGFR + RSPO4 + SRMS,0.675885817150638
10,TRIP10 + NGFR + GDI1 + SLC48A1,0.70410432194825
11,TRIP10 + NGFR + GDI1 + FOLR1,0.664469554043288
12,TRIP10 + NGFR + GDI1 + SRMS,0.672118759296564
13,TRIP10 + NGFR + SLC48A1 + FOLR1,0.695916691849871
14,TRIP10 + NGFR + SLC48A1 + SRMS,0.726325305249559
15,TRIP10 + NGFR + FOLR1 + SRMS,0.672783383157025
16,TRIP10 + SPAG4 + RSPO4 + GDI1,0.628764397401029
17,TRIP10 + SPAG4 + RSPO4 + SLC48A1,0.674602982575702
18,TRIP10 + SPAG4 + RSPO4 + FOLR1,0.614923120712345
19,TRIP10 + SPAG4 + RSPO4 + SRMS,0.642231208453989
20,TRIP10 + SPAG4 + GDI1 + SLC48A1,0.667247903161064
21,TRIP10 + SPAG4 + GDI1 + FOLR1,0.610118318838178
22,TRIP10 + SPAG4 + GDI1 + SRMS,0.622596657663534
23,TRIP10 + SPAG4 + SLC48A1 + FOLR1,0.651910344547666
24,TRIP10 + SPAG4 + SLC48A1 + SRMS,0.667247903161064
25,TRIP10 + SPAG4 + FOLR1 + SRMS,0.625377623093697
26,TRIP10 + RSPO4 + GDI1 + SLC48A1,0.666300057524548
27,TRIP10 + RSPO4 + GDI1 + FOLR1,0.622986883191074
28,TRIP10 + RSPO4 + GDI1 + SRMS,0.637132208799059
29,TRIP10 + RSPO4 + SLC48A1 + FOLR1,0.650546318673108
30,TRIP10 + RSPO4 + SLC48A1 + SRMS,0.681574601223038
31,TRIP10 + RSPO4 + FOLR1 + SRMS,0.630171140884582
32,TRIP10 + GDI1 + SLC48A1 + FOLR1,0.641935150853152
33,TRIP10 + GDI1 + SLC48A1 + SRMS,0.67121408477001
34,TRIP10 + GDI1 + FOLR1 + SRMS,0.638093732942978
35,TRIP10 + SLC48A1 + FOLR1 + SRMS,0.659736273040002
36,NGFR + SPAG4 + RSPO4 + GDI1,0.653166449457507
37,NGFR + SPAG4 + RSPO4 + SLC48A1,0.672049497407323
38,NGFR + SPAG4 + RSPO4 + FOLR1,0.618551342469107
39,NGFR + SPAG4 + RSPO4 + SRMS,0.641485473067615
40,NGFR + SPAG4 + GDI1 + SLC48A1,0.67551237235057
41,NGFR + SPAG4 + GDI1 + FOLR1,0.664652031838127
42,NGFR + SPAG4 + GDI1 + SRMS,0.664641686763184
43,NGFR + SPAG4 + SLC48A1 + FOLR1,0.6693297333146
44,NGFR + SPAG4 + SLC48A1 + SRMS,0.696435920459028
45,NGFR + SPAG4 + FOLR1 + SRMS,0.655540000249038
46,NGFR + RSPO4 + GDI1 + SLC48A1,0.671803733325449
47,NGFR + RSPO4 + GDI1 + FOLR1,0.639766945505059
48,NGFR + RSPO4 + GDI1 + SRMS,0.624591959814703
49,NGFR + RSPO4 + SLC48A1 + FOLR1,0.644857723196724
50,NGFR + RSPO4 + SLC48A1 + SRMS,0.686972687976224
51,NGFR + RSPO4 + FOLR1 + SRMS,0.632528262778493
52,NGFR + GDI1 + SLC48A1 + FOLR1,0.672176038674752
53,NGFR + GDI1 + SLC48A1 + SRMS,0.688450081815983
54,NGFR + GDI1 + FOLR1 + SRMS,0.657733079370986
55,NGFR + SLC48A1 + FOLR1 + SRMS,0.687693636998891
56,SPAG4 + RSPO4 + GDI1 + SLC48A1,0.665409615771504
57,SPAG4 + RSPO4 + GDI1 + FOLR1,0.61312901322582
58,SPAG4 + RSPO4 + GDI1 + SRMS,0.61990618700136
59,SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.616028767585471
60,SPAG4 + RSPO4 + SLC48A1 + SRMS,0.661266557037053
61,SPAG4 + RSPO4 + FOLR1 + SRMS,0.599532167321983
62,SPAG4 + GDI1 + SLC48A1 + FOLR1,0.662182590067381
63,SPAG4 + GDI1 + SLC48A1 + SRMS,0.671726230330452
64,SPAG4 + GDI1 + FOLR1 + SRMS,0.622731810729033
65,SPAG4 + SLC48A1 + FOLR1 + SRMS,0.654443326367034
66,RSPO4 + GDI1 + SLC48A1 + FOLR1,0.641467610005162
67,RSPO4 + GDI1 + SLC48A1 + SRMS,0.660943850624987
68,RSPO4 + GDI1 + FOLR1 + SRMS,0.622344866832534
69,RSPO4 + SLC48A1 + FOLR1 + SRMS,0.64797175820811
70,GDI1 + SLC48A1 + FOLR1 + SRMS,0.6547759768343
