model,gene,auc
1,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.700760360625
2,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.72364629903461
3,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.673084180714337
4,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.710325724404937
5,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.714515372331541
6,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.710325724404937
7,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.666775984090724
8,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.68329801778861
