model,gene,auc
123,TRIP10 + RSPO4 + FOLR1 + SRMS,0.630171141
124,TRIP10 + GDI1 + SLC48A1 + FOLR1,0.641935151
125,TRIP10 + GDI1 + SLC48A1 + SRMS,0.671214085
126,TRIP10 + GDI1 + FOLR1 + SRMS,0.638093733
127,TRIP10 + SLC48A1 + FOLR1 + SRMS,0.659736273
128,NGFR + SPAG4 + RSPO4 + GDI1,0.653166449
129,NGFR + SPAG4 + RSPO4 + SLC48A1,0.672049497
130,NGFR + SPAG4 + RSPO4 + FOLR1,0.618551342
131,NGFR + SPAG4 + RSPO4 + SRMS,0.641485473
132,NGFR + SPAG4 + GDI1 + SLC48A1,0.675512372
133,NGFR + SPAG4 + GDI1 + FOLR1,0.664652032
134,NGFR + SPAG4 + GDI1 + SRMS,0.664641687
135,NGFR + SPAG4 + SLC48A1 + FOLR1,0.669329733
136,NGFR + SPAG4 + SLC48A1 + SRMS,0.69643592
137,NGFR + SPAG4 + FOLR1 + SRMS,0.65554
138,NGFR + RSPO4 + GDI1 + SLC48A1,0.671803733
139,NGFR + RSPO4 + GDI1 + FOLR1,0.639766946
140,NGFR + RSPO4 + GDI1 + SRMS,0.62459196
141,NGFR + RSPO4 + SLC48A1 + FOLR1,0.644857723
142,NGFR + RSPO4 + SLC48A1 + SRMS,0.686972688
143,NGFR + RSPO4 + FOLR1 + SRMS,0.632528263
144,NGFR + GDI1 + SLC48A1 + FOLR1,0.672176039
145,NGFR + GDI1 + SLC48A1 + SRMS,0.688450082
146,NGFR + GDI1 + FOLR1 + SRMS,0.657733079
147,NGFR + SLC48A1 + FOLR1 + SRMS,0.687693637
148,SPAG4 + RSPO4 + GDI1 + SLC48A1,0.665409616
149,SPAG4 + RSPO4 + GDI1 + FOLR1,0.613129013
150,SPAG4 + RSPO4 + GDI1 + SRMS,0.619906187
151,SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.616028768
152,SPAG4 + RSPO4 + SLC48A1 + SRMS,0.661266557
153,SPAG4 + RSPO4 + FOLR1 + SRMS,0.599532167
154,SPAG4 + GDI1 + SLC48A1 + FOLR1,0.66218259
155,SPAG4 + GDI1 + SLC48A1 + SRMS,0.67172623
156,SPAG4 + GDI1 + FOLR1 + SRMS,0.622731811
157,SPAG4 + SLC48A1 + FOLR1 + SRMS,0.654443326
158,RSPO4 + GDI1 + SLC48A1 + FOLR1,0.64146761
159,RSPO4 + GDI1 + SLC48A1 + SRMS,0.660943851
160,RSPO4 + GDI1 + FOLR1 + SRMS,0.622344867
161,RSPO4 + SLC48A1 + FOLR1 + SRMS,0.647971758
162,GDI1 + SLC48A1 + FOLR1 + SRMS,0.654775977
163,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1,0.667252755
164,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1,0.716991915
165,TRIP10 + NGFR + SPAG4 + RSPO4 + FOLR1,0.66074514
