model,gene,auc
1,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1,0.667252754614864
2,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1,0.716991915097418
3,TRIP10 + NGFR + SPAG4 + RSPO4 + FOLR1,0.660745140290774
4,TRIP10 + NGFR + SPAG4 + RSPO4 + SRMS,0.682722228278859
5,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1,0.717245768394579
6,TRIP10 + NGFR + SPAG4 + GDI1 + FOLR1,0.663421919919267
7,TRIP10 + NGFR + SPAG4 + GDI1 + SRMS,0.681488411154579
8,TRIP10 + NGFR + SPAG4 + SLC48A1 + FOLR1,0.705744075401082
9,TRIP10 + NGFR + SPAG4 + SLC48A1 + SRMS,0.717245768394579
10,TRIP10 + NGFR + SPAG4 + FOLR1 + SRMS,0.677596709450765
11,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1,0.705614594455381
12,TRIP10 + NGFR + RSPO4 + GDI1 + FOLR1,0.646896798801283
13,TRIP10 + NGFR + RSPO4 + GDI1 + SRMS,0.675885817150638
14,TRIP10 + NGFR + RSPO4 + SLC48A1 + FOLR1,0.691913324260329
15,TRIP10 + NGFR + RSPO4 + SLC48A1 + SRMS,0.725107663879136
16,TRIP10 + NGFR + RSPO4 + FOLR1 + SRMS,0.673084180714337
17,TRIP10 + NGFR + GDI1 + SLC48A1 + FOLR1,0.695916691849871
18,TRIP10 + NGFR + GDI1 + SLC48A1 + SRMS,0.726325305249559
19,TRIP10 + NGFR + GDI1 + FOLR1 + SRMS,0.672783383157025
20,TRIP10 + NGFR + SLC48A1 + FOLR1 + SRMS,0.714992136287498
21,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1,0.674602982575702
22,TRIP10 + SPAG4 + RSPO4 + GDI1 + FOLR1,0.614923120712345
23,TRIP10 + SPAG4 + RSPO4 + GDI1 + SRMS,0.642231208453989
24,TRIP10 + SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.650546318673108
25,TRIP10 + SPAG4 + RSPO4 + SLC48A1 + SRMS,0.674602982575702
26,TRIP10 + SPAG4 + RSPO4 + FOLR1 + SRMS,0.630171140884582
27,TRIP10 + SPAG4 + GDI1 + SLC48A1 + FOLR1,0.651910344547666
28,TRIP10 + SPAG4 + GDI1 + SLC48A1 + SRMS,0.667247903161064
29,TRIP10 + SPAG4 + GDI1 + FOLR1 + SRMS,0.625377623093697
30,TRIP10 + SPAG4 + SLC48A1 + FOLR1 + SRMS,0.651910344547666
31,TRIP10 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.650546318673108
32,TRIP10 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.681574601223038
33,TRIP10 + RSPO4 + GDI1 + FOLR1 + SRMS,0.630171140884582
34,TRIP10 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.666775984090724
35,TRIP10 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.659736273040002
36,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1,0.672049497407323
37,NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1,0.639766945505059
38,NGFR + SPAG4 + RSPO4 + GDI1 + SRMS,0.641485473067615
39,NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.661559012334603
40,NGFR + SPAG4 + RSPO4 + SLC48A1 + SRMS,0.692742210568796
41,NGFR + SPAG4 + RSPO4 + FOLR1 + SRMS,0.632528262778493
42,NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1,0.688436443682799
43,NGFR + SPAG4 + GDI1 + SLC48A1 + SRMS,0.696435920459028
44,NGFR + SPAG4 + GDI1 + FOLR1 + SRMS,0.657733079370986
45,NGFR + SPAG4 + SLC48A1 + FOLR1 + SRMS,0.691844908808823
46,NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.667757290396921
47,NGFR + RSPO4 + GDI1 + SLC48A1 + SRMS,0.686972687976224
48,NGFR + RSPO4 + GDI1 + FOLR1 + SRMS,0.654482162079757
49,NGFR + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.68329801778861
50,NGFR + GDI1 + SLC48A1 + FOLR1 + SRMS,0.687693636998891
51,SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.641467610005162
52,SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.661266557037053
53,SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.622344866832534
54,SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.64797175820811
55,SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.6547759768343
56,RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.653718171771043
