model,gene,auc
1,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1,0.716991915097418
2,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1,0.660745140290774
3,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SRMS,0.682722228278859
4,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.700760360625
5,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + SRMS,0.72364629903461
6,TRIP10 + NGFR + SPAG4 + RSPO4 + FOLR1 + SRMS,0.673084180714337
7,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1,0.705744075401082
8,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + SRMS,0.717245768394579
9,TRIP10 + NGFR + SPAG4 + GDI1 + FOLR1 + SRMS,0.677596709450765
10,TRIP10 + NGFR + SPAG4 + SLC48A1 + FOLR1 + SRMS,0.714515372331541
11,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.691913324260329
12,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + SRMS,0.725107663879136
13,TRIP10 + NGFR + RSPO4 + GDI1 + FOLR1 + SRMS,0.673084180714337
14,TRIP10 + NGFR + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.710325724404937
15,TRIP10 + NGFR + GDI1 + SLC48A1 + FOLR1 + SRMS,0.714992136287498
16,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.650546318673108
17,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.674602982575702
18,TRIP10 + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.630171140884582
19,TRIP10 + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.666775984090724
20,TRIP10 + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.651910344547666
21,TRIP10 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.666775984090724
22,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.667757290396921
23,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.692742210568796
24,NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.654482162079757
25,NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.68329801778861
26,NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.691844908808823
27,NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.68329801778861
28,SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.653718171771043
