sample	segment_count	included
TCGA-AZ-5407-01A-01D-1717-01	98	yes
TCGA-DM-A1HB-01A-21D-A182-01	223	yes
TCGA-D5-6539-01A-11D-1717-01	228	yes
TCGA-AA-3518-01A-02D-0824-01	221	yes
TCGA-AZ-4323-01A-21D-1834-01	158	yes
TCGA-D5-6540-01A-11D-1717-01	169	yes
TCGA-AA-3973-01A-01D-1018-01	296	yes
TCGA-AA-3672-01A-01D-0903-01	105	yes
TCGA-CA-5256-01A-01D-1406-01	133	yes
TCGA-AZ-4684-01A-01D-1406-01	180	yes
TCGA-AD-6895-01A-11D-1923-01	86	yes
TCGA-AA-A02F-01A-01D-A008-01	482	yes
TCGA-D5-6535-01A-11D-1717-01	403	yes
TCGA-AZ-6603-01A-11D-1834-01	184	yes
TCGA-AA-3544-01A-01D-0819-01	354	yes
TCGA-AD-6965-01A-11D-1923-01	300	yes
TCGA-A6-2676-01A-01D-0824-01	788	yes
TCGA-AA-A00Q-01A-01D-A003-01	67	yes
TCGA-AA-3663-01A-01D-1717-01	141	yes
TCGA-AA-3675-01A-02D-0903-01	84	yes
TCGA-AA-3556-01A-01D-0819-01	243	yes
TCGA-D5-5537-01A-21D-1923-01	96	yes
TCGA-CM-6170-01A-11D-1649-01	479	yes
TCGA-AA-3520-01A-01D-0819-01	320	yes
TCGA-AA-3692-01A-01D-0903-01	193	yes
TCGA-AA-A017-01A-01D-A008-01	94	yes
TCGA-F4-6855-01A-11D-1923-01	65	yes
TCGA-AA-3561-01A-01D-0819-01	281	yes
TCGA-A6-5659-01B-04D-A274-01	92	yes
TCGA-A6-5659-01A-01D-A274-01	104	yes
TCGA-AA-3715-01A-01D-0903-01	188	yes
TCGA-A6-2672-01A-01D-0824-01	160	yes
TCGA-A6-2672-01A-01D-1549-01	207	yes
TCGA-AA-3514-01A-02D-0819-01	148	yes
TCGA-A6-2682-01A-01D-1406-01	70	yes
TCGA-CM-5864-01A-01D-1649-01	189	yes
TCGA-AA-A01R-01A-21D-A080-01	263	yes
TCGA-DM-A28G-01A-11D-A16U-01	41	yes
TCGA-AA-A02H-01A-01D-A008-01	168	yes
TCGA-A6-6650-01A-11D-A274-01	290	yes
TCGA-AY-6386-01A-21D-1717-01	128	yes
TCGA-D5-6538-01A-11D-1717-01	267	yes
TCGA-D5-6926-01A-11D-1923-01	175	yes
TCGA-G4-6295-01A-11D-1717-01	449	yes
TCGA-A6-6780-01A-11D-1834-01	146	yes
TCGA-A6-6782-01A-11D-1834-01	228	yes
TCGA-CK-5913-01A-11D-1649-01	329	yes
TCGA-A6-6781-01A-22D-A274-01	40	yes
TCGA-AD-6901-01A-11D-1923-01	154	yes
TCGA-G4-6588-01A-11D-1770-01	265	yes
TCGA-G4-6310-01A-11D-1717-01	354	yes
TCGA-DM-A28M-01A-12D-A16U-01	44	yes
TCGA-AZ-6608-01A-11D-1834-01	593	yes
TCGA-AA-3664-01A-01D-0903-01	478	yes
TCGA-4T-AA8H-01A-11D-A40O-01	97	yes
TCGA-AD-5900-01A-11D-1649-01	93	yes
TCGA-A6-4105-01A-02D-1770-01	327	yes
