FPKM,methy,cor,pvalue,Regulation
QPCT,QPCT,-0.271551692812201,8.59129571100966e-06,negative
RBBP4,RBBP4,-0.193195512673289,0.00171396082259705,negative
RHBDL1,RHBDL1,-0.122847343432265,0.0474066095457425,negative
RSPO4,RSPO4,-0.141922362588034,0.0218225932964842,negative
SAA2,SAA2,-0.168667760162723,0.00630604549202044,negative
SAMD5,SAMD5,-0.125109564754149,0.0434408229930723,negative
SAP18,SAP18,-0.233361519252777,0.000142012123821968,negative
SASH3,SASH3,-0.43310576390909,2.33287737268115e-13,negative
SCT,SCT,-0.182692915200317,0.0030535150221816,negative
SDC4,SDC4,-0.12772402015883,0.0392083957084301,negative
SEC13,SEC13,-0.163986904024249,0.00794101349447809,negative
SERINC3,SERINC3,-0.126038209727917,0.0418955190667607,negative
SERPINA1,SERPINA1,-0.406091719079789,8.76232862754813e-12,negative
SFRP5,SFRP5,-0.136233486491211,0.0277625815121714,negative
SH3BP2,SH3BP2,-0.207186504409328,0.000757841423686551,negative
SLAMF8,SLAMF8,-0.508584624660344,1.41659936935576e-18,negative
SLC1A5,SLC1A5,-0.217288468638084,0.000406399722074149,negative
SLC25A15,SLC25A15,-0.333464599650099,3.38544553125251e-08,negative
SLC25A43,SLC25A43,-0.125299293420942,0.0431212733676103,negative
SLC2A2,SLC2A2,-0.157283179132131,0.0109387729585501,negative
SLC30A2,SLC30A2,-0.231193679693892,0.000164363340185193,negative
SLC35C2,SLC35C2,-0.311521058161978,2.79135501431378e-07,negative
SLC35D3,SLC35D3,-0.222862229293898,0.000284617047230607,negative
SLC39A14,SLC39A14,-0.206921756283584,0.00077002259806074,negative
SLC39A4,SLC39A4,-0.425124897729713,7.04423707472461e-13,negative
SLC48A1,SLC48A1,-0.25409171459706,3.27218502039222e-05,negative
SNCG,SNCG,-0.178342965381329,0.00384509044892661,negative
SPAG4,SPAG4,-0.23489149456157,0.000127986817160085,negative
SPDYC,SPDYC,-0.372591528003161,5.10784120083757e-10,negative
SPRY2,SPRY2,-0.287490066434669,2.33168211103726e-06,negative
SRMS,SRMS,-0.321961503701883,1.04466802875809e-07,negative
STOX1,STOX1,-0.25502447699377,3.05378514105633e-05,negative
TACSTD2,TACSTD2,-0.148248478519442,0.0165393869789017,negative
TAF7,TAF7,-0.387756896486486,8.58215722561435e-11,negative
TMCO1,TMCO1,-0.341892732398047,1.43906808800586e-08,negative
TMCO6,TMCO6,-0.214768718453762,0.000476020534790449,negative
TMPRSS4,TMPRSS4,-0.349377504304318,6.58767211296606e-09,negative
TNFAIP8L2,TNFAIP8L2,-0.124982341727611,0.0436562098600241,negative
TNNC2,TNNC2,-0.411116857643978,4.57354305466331e-12,negative
TOP1MT,TOP1MT,-0.314424836800568,2.13172653198538e-07,negative
TPM2,TPM2,-0.166566879744603,0.00699840957063858,negative
TRAPPC9,TRAPPC9,-0.229504831085938,0.000184012230380851,negative
TRIP10,TRIP10,-0.246058976993704,5.86760842028571e-05,negative
TUBA1B,TUBA1B,-0.146958258012768,0.0175156829479656,negative
UBA7,UBA7,-0.414610062619021,2.89181922339261e-12,negative
UBE2L3,UBE2L3,-0.333063642369098,3.52383153917691e-08,negative
UBE2L6,UBE2L6,-0.466017176021206,1.78014570189869e-15,negative
UCP2,UCP2,-0.155374953617638,0.0119576012489969,negative
VENTX,VENTX,-0.281579424354851,3.81782950363506e-06,negative
VPS53,VPS53,-0.190054826944006,0.00204341898934879,negative
WNT10A,WNT10A,-0.202114831035932,0.00102510211532312,negative
ZDHHC9,ZDHHC9,-0.159835376268784,0.00969632656414759,negative
ZNF707,ZNF707,-0.267922022720479,1.14331861390155e-05,negative
