"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05016","Huntington disease","82/1355","306/8165",2.93726750877859e-06,6.09483008071557e-05,4.50252190490402e-05,"2877/292/836/3065/5686/6391/4713/7386/1173/7416/54205/10383/5707/9377/4715/1175/7384/1340/4714/5713/1329/4704/3799/203068/4706/1351/4726/291/1537/5688/7277/1337/5705/29796/4700/4711/1349/4720/84790/7417/5434/27089/4709/5704/5440/374291/10376/5684/6392/5717/1347/5689/7381/1327/4899/4728/5708/5714/5687/9167/4716/4725/5685/4694/29982/2878/4710/1350/10488/5691/5441/5437/7846/10213/6389/4695/5690/4708/5693/1213/1345/55967",82
"hsa04145","Phagosome","48/1355","152/8165",3.198717389258e-06,6.24690690137445e-05,4.61486781236604e-05,"1535/3122/4074/3118/23673/2214/60/3108/3115/3135/3127/71/7058/3119/10383/3689/3113/3109/2215/5868/2212/4688/203068/10952/3117/9902/7277/653509/29927/9550/715/533/84790/3105/3123/7879/10376/8411/811/528/23480/1520/9296/3688/3107/1536/7846/51382",48
"hsa05416","Viral myocarditis","25/1355","60/8165",3.51615837141267e-06,6.48535877393893e-05,4.79102281017048e-05,"3122/3118/836/60/3108/3115/3135/3127/1982/54205/71/3119/3689/3113/3109/5880/3117/3105/3123/1525/595/942/3107/3908/25",25
"hsa05130","Pathogenic Escherichia coli infection","58/1355","197/8165",3.90600539844598e-06,6.8252304857056e-05,5.04210115145658e-05,"1366/4645/9632/7430/4615/5603/836/60/1365/10096/2017/2353/3725/6714/9075/2597/578/10094/1364/54205/71/6188/10383/7009/387/3059/4646/5777/4640/2212/79784/4691/203068/29108/7277/84790/10109/375/10672/10093/9368/8976/10376/9826/998/10095/55930/3569/834/10092/5861/3688/9170/10006/7846/4790/10972/25",58
"hsa00020","Citrate cycle (TCA cycle)","16/1355","30/8165",4.29322373280882e-06,7.12675139646264e-05,5.26484805128661e-05,"3417/6391/4191/8801/5106/8803/5105/50/4190/47/5160/6392/3421/1737/6389/1738",16
"hsa03040","Spliceosome","46/1355","147/8165",6.70804747243991e-06,0.000102072495297331,7.540548955066e-05,"6628/3312/56259/3178/22827/6432/6431/6426/56949/84950/55660/3190/1655/29896/11017/3303/9092/26121/3304/22916/10291/5356/151903/6427/4116/51503/10262/55110/6637/23451/51362/8559/51729/10772/51340/10465/9128/3183/3310/6626/10992/6434/23658/6100/25804/6627",46
"hsa05140","Leishmaniasis","29/1355","77/8165",6.76384004982315e-06,0.000102072495297331,7.540548955066e-05,"1535/3122/4615/5603/3118/2214/3108/3459/3115/2353/3725/3127/3119/6772/3689/3113/3109/2215/5777/2212/4688/7040/3117/3123/4843/3688/1536/1915/4790",29
"hsa03010","Ribosome","47/1355","158/8165",2.37328491024863e-05,0.000342578517479367,0.000253077978987611,"28998/51116/9045/6175/51069/6188/6182/6134/6138/6132/64969/6150/6223/6142/6129/29088/51081/6122/64928/6194/23521/65003/6160/6125/6173/6137/6222/63875/55173/79590/6203/29074/51318/6205/6144/6158/4736/6204/6141/6124/11224/6208/6166/64965/6147/6228/6201",47
"hsa04144","Endocytosis","67/1355","251/8165",2.71512897809093e-05,0.000375592841969245,0.000277467128024205,"3561/84364/8723/381/51534/10096/254122/829/3135/27131/6714/10094/55737/378/3312/10890/1173/112936/2350/9559/387/5868/1175/7852/84313/6643/29082/3799/5119/5156/58533/9798/3303/30011/27243/7251/2870/10109/3304/375/3105/7046/10093/8395/8976/7879/11021/274/8411/11031/998/832/51699/10095/10015/55738/10092/10564/3310/84612/10617/8724/3107/2348/23624/3949/1213",67
"hsa05166","Human T-cell leukemia virus 1 infection","60/1355","222/8165",4.78777955008648e-05,0.000635817124251485,0.000469706372703222,"3122/3561/1958/3118/292/4609/3108/3115/2353/3135/3725/7850/9133/3127/9232/5901/7416/3119/991/4316/567/3689/3113/3109/9020/246184/9184/6513/7040/3117/291/916/7417/3105/3123/8697/55697/51529/25847/7046/595/51434/4085/8061/5728/598/1386/915/811/5925/1026/3569/109/8295/10488/3107/4790/1437/2114/4893",60
"hsa05134","Legionellosis","22/1355","57/8165",5.57485063739086e-05,0.000711865542928371,0.000525886720045372,"2919/4615/836/3329/2921/3312/54205/3689/2920/1937/29108/3303/7415/3304/375/56681/3569/834/3310/5861/1915/4790",22
"hsa04146","Peroxisome","28/1355","82/8165",7.7300798096492e-05,0.000950513517334642,0.000702186586997374,"3417/51703/5195/6342/25824/847/5052/4598/2053/10005/8443/5264/5824/5828/10901/7498/84188/1891/8504/55711/4843/8799/8310/8309/5827/10654/51/1962",28
"hsa04714","Thermogenesis","61/1355","232/8165",9.86911241639813e-05,0.00112984321456696,0.000834665405815159,"51703/5603/86/6391/60/4713/7386/71/9377/6603/4715/7384/1340/4714/1329/4704/4706/1351/4726/1537/1337/29796/6194/4700/4711/1349/4720/29078/2641/27089/4709/6195/374291/6392/1386/1347/7381/1327/6597/4728/9167/109/11343/4716/4725/4694/51780/27330/4710/1350/10488/51287/25915/10063/6602/6389/4695/4708/4893/1345/55967",61
"hsa05171","Coronavirus disease - COVID-19","61/1355","232/8165",9.86911241639813e-05,0.00112984321456696,0.000834665405815159,"4312/713/714/712/3627/4938/4615/5603/716/2353/9045/3725/6175/6188/6772/6134/6138/6132/9636/4314/629/6223/6142/719/2212/6129/6122/715/6194/1839/23521/6850/9641/6160/6125/717/2162/10379/6173/6137/6222/6203/3569/1675/834/6205/6144/6158/4736/1536/6204/6141/6124/11224/4790/6208/1437/6166/6147/6228/6201",61
