,P01_tissue_tumor_center,P01_tissue_tumor_deep,P01_tissue_tumor_superficial,P08_tissue_tumor,P10_tissue_tumor,P18_tissue_tumor,P19_tissue_tumor,P20_tissue_tumor,P21_tissue_tumor,P01_CTM1,P01_CTM3,P01_CTM4,P01_CTM8,P08_CTM7,P08_CTM10,P08_CTM11,P10_CTM10,P16_CTM2,P18_CTM2,P18_CTM4,P18_CTM5,P18_CTM6,P19_CTM2,P20_CTM14,P20_CTM15,P20_CTM16,P21_CTM11
SLC2A14,0,1.03808,0.0525424,0,0.0723926,0,0,0,0,0,0,0,0.999537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A2,0,0,0,0,0,0,0,0,0,0,0,0,0.169204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A3,0,43.9801,0.0886809,37.2085,256.795,0.808047,0.0331362,0.186694,109.198,0.555099,0.52898,0,5.55708,0,62.3227,67.971,0,2400.6,16.4166,0.244537,0.211556,3.93046,15.0618,0,5.11774,0.0955697,0.793882
SLC2A4,0,0.207365,0.0305395,7.10284,0,0.147902,0,0.29152,0.348406,0,0,0,0.089148,0,0,0,0.133785,0.747402,0.708646,0.216228,0.133488,10.149,15.8438,0,0.210935,0,0.791924
SLC2A4RG,0,0,0,18.6779,0,0.974294,0,0,0,0.79013,0,2567.19,0,4264.79,408.894,556.894,0,0,0.554741,0,2.66695,0,0,0,0,0,72.9276
SLC2A5,0,0,0.171971,0.0735833,0,0.0400778,0.414893,0.798248,0.230398,0,0,0.0920949,0.539433,0,0.101965,0,0.0777501,5.04391,6.34121,8.2578,0.172358,5.37977,13.0005,0,0.375889,0.27652,3.78474
SLC2A6,0,0.0614113,0.175419,0.0838634,0,0.252004,0,0.24147,0.176774,14.6383,0,0,0.538034,0,0.346488,0,0.208277,0,0.654455,0,0,0,0.449478,8.34316,23.9124,0,1.21672
SLC2A7,0,0,0,0,0,0,0,0,0,0,0,0,0.185479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A8,0,0,0,31.0823,3.7746,0,0,0,1.74969,0,3.47346,0,0.132819,0,0,0,0,0,42.9936,0,0,0,0,0,0,0,4.28029
SLC2A9,20.9526,0,0,0,152.411,0,0,0.453014,2.17852,0,0,0,4.43948,0,0.327512,761.499,0,0,0,0,0,0,0,0,0,0.23505,0
SLC30A1,0,0,0,0.0120968,0,1.01236,0.0231645,0.0654024,0,0.0775025,59.2859,25.1362,0.209119,0,0,0,0,0,0.0977307,0,0,0,0,0.0411208,0,0,16.5098
SLC30A10,0,0,0,0,0,0.209835,0,0.521518,0,0,0,0,0.552838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC30A2,0,0.0381643,0.19471,0.0535434,0,0.485328,0.0405683,0.189981,0.0815143,0,0,0,0.721405,0,0,0,10.4477,11.8609,9.50097,5.44911,8.40098,3.90206,6.16717,0.529836,9.23524,0,0.539443
SLC30A3,0,0,0,0.0473553,0,0,0,0.169206,0,0,0.701979,0,0.400485,0.19639,0,0,0.107527,0,2.45447,0,1.40726,0,0.424525,0,0,0,0
SLC30A4,0,0,6.03774,0.0555586,0,0.0306175,0.0169655,4.16933,0.0490997,0.118394,0,0,0.275604,0,0,0,0.403646,0.501862,1.18736,0.80677,1.51947,0,3.32553,0,0,0,0.148511
SLC30A5,3.96555,0.0406853,94.2234,46.012,132.827,0.111746,0,81.1803,2.70179,0,0,0,3.82707,50.2943,3.6662,0,4.73701,14.0438,18.1835,3.14561,13.0209,1.58155,51.9297,0.769787,4.89606,1.7437,94.2391
SLC30A6,3.75985,0,57.5363,48.2491,0.044136,0.368402,38.4088,4.1316,0.876965,0,2.75694,0,0.288003,143.061,0.270767,0.579141,0.140852,16.7306,26.918,1.60282,0.638436,0.132837,21.2523,0.55433,1.08796,0.157594,39.3603
SLC30A7,1.31482,0.0100528,3.04385,0.148857,23.6535,0.78551,0.309057,0.225339,13.3017,0.0520152,0.147072,0,0.253412,0,1.37737,14.0153,0.108791,0.349641,2.93092,0.675696,1.13185,60.144,11.4053,0,1.04229,4.10006,16.9114
