,P01_tissue_tumor_center,P01_tissue_tumor_deep,P01_tissue_tumor_superficial,P08_tissue_tumor,P10_tissue_tumor,P18_tissue_tumor,P19_tissue_tumor,P20_tissue_tumor,P21_tissue_tumor,P01_CTM1,P01_CTM3,P01_CTM4,P01_CTM8,P08_CTM7,P08_CTM10,P08_CTM11,P10_CTM10,P16_CTM2,P18_CTM2,P18_CTM4,P18_CTM5,P18_CTM6,P19_CTM2,P20_CTM14,P20_CTM15,P20_CTM16,P21_CTM11
A1BG,0,0,0,0.790658,0,0.210169,0.128706,1.33087,5.28041,0,0,0,0.56095,0,0.330994,0,0,27.862,10.832,3.94103,1.20856,1.29404,7.28178,0.272213,12.8414,0,1.3367
A1BG-AS1,0,76.1336,0,0,0,0,0,0,0.0402743,0,0,0,0.144959,0,0,0,0,0,0.682807,0,0,0,0,0,0,0,0.500976
A1CF,0,0,0,9.77443,0,0,0,0.0501423,0,0,0,0,0.530821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,485.266,218.777,196.47,146.361,348.398,19.76,677.781,99.9756,335.229,0,0,0,2.83184,0,0,0,0,0,0,0,0,72.0706,28.8065,0,0,82.6577,24.7857
A2M-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0.283726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0.0441072,0,0.0308208,0.54278,0.439605,0.0875823,0,0,0,2.02798,0,0,0,0,0,3.15006,7.65536,0,0.278139,5.31568,0.15696,0.151595,0.50557,1.20179
A2MP1,0,0,0,0.0327688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85204,0,0,0,6.9562
A4GALT,0,0,0,0,35.2454,0,0,0,0,0,0,2651.92,0,0,14.1934,0,0,0,0.220574,0,0.268086,7.22139,0.196527,0.354775,0.584032,0.311487,0.360689
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0.171187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,0.823034,137.571,0,38.3073,247.331,2.03707,0.322929,0.843792,43.5238,0.659852,0,0,0,0,4.44103,17.3092,0,0,0,0,0,0,0,0,0,0,45.7708
AACS,0.0151857,0.036204,0.0632991,1.28831,155.034,3.89638,0.150764,5.63247,3.18059,0,0.108608,0,5.43009,0.499596,0.14403,0.269455,7.22987,15.5616,57.366,5.53155,14.4392,14.1828,92.0593,6.08657,6.71816,7.88977,56.1628
AACSP1,0,0,0,0,0.12919,0,0,0,0,0,0,0,0.0892076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0.487886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0.202274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0.126701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,0,0,12.527,0,0,0,0.0917854,0.0300546,0,0,0,0.162294,0,0,0,0,0,0.261208,0,10.889,0,0,0,0,0,3.79489
AAED1,2.72143,51.8276,30.6438,0.208444,23.9014,0.491731,17.5881,1.63408,9.45003,0.193629,42.4408,0,0.665744,0.0843987,226.187,0.0933487,11.5597,8.99056,20.7383,9.45778,12.1149,245.835,36.2681,72.051,0.718742,14.6115,11.262
AAGAB,0.106126,137.334,0,0.34931,0,0.567246,53.3108,52.566,1.69051,0,0,0,0.105562,0.401184,28.8922,0,0,0,0.484064,0,0,0,0,891.749,0,0,27
AAK1,0.0209083,0.0661772,0.0169047,0.302596,159.375,1.00179,0.814616,0.663037,6.98351,0,0.175177,0,2.39055,0,1016.44,2398.88,0.943164,0.952245,29.6098,6.4278,2.5208,0.0921444,4.3623,0.575921,0.773266,0,195.786
AAMDC,19.3356,1.01573,0.753682,21.7866,625.822,567.053,54.7699,2.88737,8.52882,1.0146,4.41087,45.7044,4.13403,1384.71,1037.13,6.8879,11.3592,1.81849,75.1669,67.1355,129.246,7.97634,75.5621,1484.51,23.3207,2.65437,132.954
AAMP,654.581,1.01189,0.663152,287.144,457.913,1251.02,1156,127.25,75.8157,0,159.101,0,0,0,0.339124,156.889,0,0,0,0,0,0,0,0,0,0,53.1069
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0.175929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAR2,30.5378,0,26.6846,100.103,0,0.245977,0,0.141147,39.2495,0,0,0,0.246607,0,0,0,0,0,4.39915,0,0,0,1.10067,0,0,0,32.4022
AARD,0,0,0,0.301488,0,0,0.183582,1.38963,0.789116,0,0,0,1.30693,6.0547,0.147347,1.6291,0.152205,5.97194,3.72498,0.202978,1.70646,0.144804,33.4197,0,1.36581,0,0.563199
AARS,3.26425,0.326758,181.361,54.8027,32.0178,824.626,0.515588,145.806,77.5187,0,0,0,0,0,0,16.9501,0,0,0,0,0,0,0,0,0,0,46.3626
AARS2,3.90881,36.4626,2.60431,0.260323,0.0957029,0.236081,0.196347,0.798384,0.178385,0.167071,0.29678,0,0.160549,0,1.70683,0,0.533665,9.36583,5.84358,0.342117,0,4.20388,4.56035,2.00808,0,0,11.8933
AARSD1,0.328913,0.401482,0.297183,73.9751,0,0.844147,49.2391,132.206,0.495099,0,214.87,0,1.28766,336.598,10.1772,67.1916,0,6.19739,8.79262,3.82558,1.15772,0,9.1958,0,131.983,0.503585,374.874
AASDH,0,0,0,0,0,0,0,0,0,0,0,0,1.95826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDHPPT,0,0.228738,0,20.2617,0.246214,0.105563,111.036,60.6995,0,0,8.15509,374.699,0.121456,30.4814,0.271203,0,0.565344,3.24314,0,0.214562,0.115764,48.5147,0.516422,0.0804375,0.249653,0,222.155
AASS,2.32185,0.15128,0.944921,0.120873,0.159173,0.404001,0,0.429539,0.131817,0,0,0,0.749166,0,0.241981,0,18.7214,0,10.5257,4.68247,0.585263,0,8.96604,0,0,0.144349,1.30255
AATF,234.459,0.409497,99.1714,72.3938,0,1.08765,17.6023,73.186,44.5732,0,0,0,1.58188,0,54.1018,0,0,0,0,0,0,0,0,0,0,0,628.925
AATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56353
AATK-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0.286758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,0.341215,0,0,0.353851,0,38.1138,2.81666,7.96799,13.0301,0,0,0,3.08851,3.3907,0,0.539589,0,0,0.26595,0.215938,1.12748,30.3682,6.30327,0,2.60166,0,0.567289
ABCA1,10.7047,10.3389,10.0918,2.92176,0,0.0503508,2.45902,0.0176493,3.47525,0,0,0,0.0473762,0.0185312,0.853582,0,0,0,0,0,0,0,0,0.0297855,0,0,0
ABCA10,0,1.22977,0,0.06206,0,0,0,0,0,0,0,0,0.675878,0,0,0,0,4.61201,0,0,0,0,307.883,0,0,0,0.0654322
ABCA11P,0,0,0.116319,0,0,0,0,0,0,0,0,0,0.460961,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23386
ABCA12,0,0,0,0,0,0.018275,0,9.15392,0,0,0,0,0.116879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA13,0,0.0471518,0,0.128448,0.416733,0.232613,0,0.0885372,0.455096,0.112491,0.0420051,0.0397482,1.18877,0,0.0996336,0.0976648,0.076249,0.336266,127.472,0.772473,0.807034,2.64507,4.27954,0.442838,0.586556,0,0.725194
ABCA17P,0,0,0,0,0,0,0,0.487526,0.259868,0,0,7.57189,1.37309,0,0,0,0,0,1.53345,0,0,0,5.83915,0,0,0,2.36629
ABCA2,0,0,0,0.0281909,0,0,0,0.0398485,0,0,0,0,2.94651,0,0.232003,0,0,0.100408,8.20709,0.0815926,0,0,0.596802,0,0,0,0
ABCA3,0,0,0,0,0,0.214929,0.504991,1.21158,0,0,0,0,1.82338,0,8.83117,28.1573,0,0,0.362913,0.0512076,0,0,0,0,0,0,28.1678
ABCA4,0,0,0,0,0,0,0,0,0,0,0,0,0.92597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,0,0,75.0222,0,0,0.0641001,0.0407844,10.9608,0.265116,1.0515,0,0,0.780579,0,0.703264,0,264.778,51.5625,3.53913,0,0.938383,7.02748,61.9183,0,0,0,4.15775
ABCA6,0,0,0.0420345,0.104592,0.0445562,0.02617,0.0144758,0.261356,0.0559939,0,0.154958,0,1.09963,0,0.0493437,166.572,0.357976,2.55354,5.85683,11.4754,1.33123,0.0902673,57.8526,0.183034,0.048915,2.81475,0.938505
ABCA7,0,0,0,0,0,0,0,0,0,3.18375,0,0,0.90648,0,0,0,0,0,0,0,0,0,0,0,0,0,92.7683
ABCA8,0.814214,0,0.152153,0.0498423,0.0683385,0.226226,0.0202889,0.554841,0.501755,0,56.793,0,0.513265,0,0,0.188162,0.461646,5.17787,2.09555,5.51295,1.59072,4.99291,23.7829,0,0.20114,1.01176,0.273345
ABCA9,0.348286,38.7978,0,0.0841763,0.0144356,0.0193604,0,1.91333,0.265585,0,0.127489,0,2.46725,0.0539601,0,0,2.8538,24.2988,5.37114,0.794951,5.91431,0.364546,13.3681,0.0900733,5.89764,0,0.472828
ABCA9-AS1,0,0.546233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,0,0,0,0.117901,0,0.409809,0.378657,0.313564,8.90925,0,0,0,0.780429,0,0,0,0,0,0.651226,0,0,0,0,0.077296,0,0,0
ABCB10,0,0,0,0,0,0,0,0.311554,0,0,0,0,0.437681,0,0,0,0,0,0.779021,0,0,0,0,0,0,0,20.3452
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0.0523081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0,0,0,0,0,0,0,0,3.03284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB5,0.314575,0,0,0.166264,0,0.101439,0,0.125161,0.200394,0.0729738,0,0.034934,0.33874,0,0,0,0.0494009,0.091781,4.68364,5.26644,0.306685,1.63765,11.6383,0.766399,2.34313,0.113908,0.186479
ABCB6,0,0,0,0,0.0369647,0,0,0.349484,0.118255,0,0,0,0.0785306,0.30449,0,24.9012,0,4.27735,0.373884,10.1145,0,0.298577,6.36546,0,0.899015,0,52.3931
ABCB7,0.0816061,25.058,0,52.0147,0.886233,0.767844,144.914,0,84.0444,0,16.4628,0,0,0,0.309607,0,0,0,0,0,0,0,0,0,0,0,63.849
ABCB8,0.19917,63.5438,0,0.0463387,0,0,0,7.63249,0.0235346,0,0,0,1.24615,0,0,0,0,0.406185,0.0801906,0,0,0,0.0900145,0,0,0,75.9456
ABCB9,14.5429,0.0575333,0,0.457839,1.15962,0,0.100618,1.92993,1.26998,0.281686,0,0.84326,2.46196,0.44874,0,0.145418,2.35334,2.55493,27.3849,12.5505,1.11803,8.64177,11.4904,0,3.68325,0.208434,2.94731
ABCC1,0,0,0,8.32966,4.98234,29.7013,0.0379316,0.149159,0.289108,0.532009,0,0,0.193249,0,0,0,0,8.14333,0,0,0,0,3.48289,1.63968,0,0,14.9745
ABCC10,262.448,3.11064,69.8016,4.32884,4.38691,38.4827,21.072,7.17713,3.95045,0,0,0,6.41534,0,2.38305,0,2.27007,15.0086,17.1337,4.64132,21.792,2.99961,44.1527,300.864,299.84,2.799,16.3667
ABCC11,0,0,0,0,0,0,0,0,0,0,0,0,0.683272,0,0,0,0,0,0.117697,0,0,0,0,0,0,0,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,1.08194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC13,0,0,0,0,0,0,0,0,0.023838,0,0.0442413,0,0.570593,0,0,0.0687949,0,1.5918,0.214229,0,0.297742,0.0900222,1.46828,0,1.05982,0,0.129381
ABCC2,0,0,0,0.208942,0,0,0.347693,1.82932,2.23217,0,5.60652,0,2.13314,1.09795,1.15886,0,4.37377,275.443,163.019,52.1572,680.682,4.54932,74.8284,1.28798,49.9394,4.57347,75.6877
ABCC3,0,8.49131,0,21.2388,131.072,132.006,246.668,70.262,119.547,0.788904,1.18521,0,1.75948,2.01614,1.09228,2.42588,0.533807,4.37253,17.191,7.09512,99.9465,17.7325,639.579,2.87835,1239.3,26.2154,113.28
ABCC4,0,0,0,0.313617,0,0.065659,12.8367,0.0621192,14.479,0,0,0,0.750474,0,21.3087,0,0,1.23125,39.2813,1.63169,0,5.54535,20.8422,0,0,0,3.45369
ABCC5,0,0,0,0.120639,0,0.279046,0.0716739,0.0603667,0.297933,0,0,0.0708972,0.409703,0,0,0,0,0,0,0,0,0,0,0,0.186848,0,37.2472
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,0,0,0,0.166819,0.965898,0.381031,0.0433901,0.232468,0.0438791,0,0,0,1.79359,0,0,0,0.542653,0.420692,1.67668,0.573666,0.0714712,0.50602,3.91785,0.356605,1.90477,0.275401,1.4259
ABCC6P1,0,0,0,0,0,0,0,10.0453,0,0,0,0,0.212655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P2,0,0,0,13.4444,29.7917,0.342016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0,0,0,0,0,0,0,2.5605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC9,1.57169,0.818685,0.100906,0.600859,7.89484,0.0398826,0.938359,1.09387,0.705849,0.0486034,0,0.0818562,2.41566,0.0134834,0.0926168,0,2.19528,0.586273,65.1037,9.87372,2.45802,1.61606,38.7701,25.6665,3.7332,0.112931,0.551896
ABCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238313,41.1843,0,0,0,0,0,0,0,0,0,0,10.0798
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0.0506907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD3,0,0.0250468,0,5.30918,0,0.20427,41.5172,18.6642,0.0893009,0,0,0,0.106466,0,3.48854,0,0,8.92536,0,0,0,2.98737,2.22098,0,0,0,18.7583
ABCD4,0.321214,0.0656982,0,0.613002,0,0.79722,37.2238,143.284,100.328,0,0.877608,0.704837,2.15411,0,0,0.547606,0,0.643826,6.28169,30.4019,2.03801,1.01295,71.4805,0.747109,13.1172,214.039,51.0344
ABCE1,0.291143,0.06284,67.3821,102.878,0.147147,1.2786,220.202,42.4554,36.8824,0.707683,0.0383106,4.75872,0.386536,195.504,0.489068,0.0550976,0,6.76931,147.97,1.81702,1.21789,0,92.575,36.4418,1.07509,28.5045,112.112
ABCF1,129.366,64.5573,1.81977,33.7235,0,496.541,47.7959,107.249,141.672,0,19.2523,1.24427,1.2653,0,13.3985,144.411,0,8.79909,316.309,4.23246,10.3537,1.74309,24.2285,4.02561,3.4806,1.28487,741.975
ABCF2,158.486,0.128561,91.0275,8.34454,38.9244,0.151145,1.3837,60.8237,22.0602,0,0,0,0.154507,0.316471,5.87896,0.130109,0,0.455677,4.42973,5.98837,1.22496,0.544353,2.08577,3.75385,1.29364,2.32058,186.89
ABCF3,226.289,0.130357,169.826,52.0256,108.457,2.62415,0,204.128,100.889,0,0,0,0,0,0,0,0,0.387201,0,0,0,0,0,0,0,0,92.2342
ABCG1,0.147692,16.369,0,0.266752,0.324151,0.215054,0.124853,1.61579,1.83213,0,204.543,0.227073,0.64268,0,90.7492,84.3323,0.959515,0.974535,16.7631,1.97397,0.27384,28.0962,4.0296,0,56.0434,0,0
ABCG2,0,1.00558,0.390374,0,0,0,0.0550609,0.0434106,0.0562557,0.190063,0.0385161,166.519,0,0,71.4194,0.109183,0.0677709,0.254456,0,0,0.651215,0,0.131063,0.198499,0,0,49.0329
ABCG4,0,0.0496882,0,0,0,0,0,0,0,0,0,0,1.26161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG5,0,0,0,0,11.6146,0.0586629,0,0,0,0,0,0,0.115386,0,0,0,0,0,1.49197,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0,0,0,0,0,0.202722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,0.304658,207.842,81.9959,0.170764,0.165995,0.391071,251.473,15.7788,44.9113,0,0,0,0,0,0,15.1489,0,0.949414,0,0,0,0.478211,0,0,0,0,43.4401
ABHD11,0.085483,0,7.52676,19.5819,85.2501,104.355,27.385,2.66748,2.3079,1.42629,0,0,0.441739,0,0,0,0,11.3137,37.3756,0,17.1706,0,93.1759,0.902621,2.99651,0,11.7437
ABHD12,62.5529,0.960624,101.115,1.49386,1.67173,0,0,0.063614,0,0,0,382.733,0.148386,0,0,0,0,0.215446,0,0,0,1084.85,0,0.29428,0,0,23.5275
ABHD12B,0.0318306,3.03406,3.24012,0.10822,0.476557,0.235243,116.212,1.15056,6.05075,0,0.923461,0,2.17091,0,0,0,0,0,1.12148,0.389669,0,0,2.73726,27.1988,0.0778819,0,213.13
ABHD13,0,0.0289565,9.54165,0,0,0,0,0,0,0,0.119146,0,0.0623059,0,0.120248,1.03374,0,0,0,0,0,0,0,0,0,0,0.921489
ABHD14A,0,0,0,3.99218,177.426,0,0.255649,0.519258,0.26239,0,0,0,0.318159,0.339396,0,0,0,10.8896,3.34505,5.85068,6.66213,2.52703,0.757145,15.4754,0.475996,26.2518,26.595
ABHD14A-ACY1,0,0,0,0.223946,0,0,0,0,6.51127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,1.70554,69.4472,0,60.733,0,1.18585,0.161562,0.0753786,31.9668,0,1.91242,0,0.239043,0,672.656,139.362,0,0,0.270903,0,0,0.343627,0,0,0.94647,0.296892,90.7249
ABHD15,0.279968,0,0.125422,0.024284,51.2028,0.732533,0.0390538,9.27078,0.189575,0,2.68419,0,0.322067,0,0,10.4812,0,1.23253,1.94653,0.102633,0.123262,0.146947,9.53819,0,0.58266,0.129,1.07305
ABHD16A,0,0,0,123.612,0,595.103,240.927,0.757902,102.932,0,1883.18,266.911,0.66636,0,4.42492,0.803879,0,0,0.461406,0,0,0,0,0,0.861385,0,79.2014
ABHD16B,0,1.4406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08962
ABHD2,0.0104599,10.3117,136.506,29.5459,1.5208,1.94721,0.19449,110.555,0.201942,0,2.21077,5.91099,0.651514,1.62151,116.275,15.9353,4860.7,1.69015,0.462339,2.11958,1.45013,132.229,1.8789,1.37535,1.18819,0.0806084,10.9111
ABHD3,0,10.8471,0,0.436351,0,0.689043,0,0.169165,47.3662,0,0,0,1.2733,0,0,0,5.72163,9.02964,0.579926,0.309133,0.477181,0,0,0,0,0,103.113
ABHD4,0.205498,0.088638,158.922,0,0.411489,0,0.0477394,0,80.3531,0,1.99948,1.8285,0,0,4.52882,1548.95,0,0.986353,1.11149,0,0,0,0,0,0,0,149.526
ABHD5,196.372,0,0,0,0,131.084,0,1.06827,0.0416117,0,0,0,1.15678,0,0,0,0,0.605876,4.1457,0,0,0,80.3132,0,0,0,21.3995
ABHD6,1.80614,0,5.28101,2.69473,0,0.0784265,0,1.77439,0.177194,0,0,0,2.70026,0,0,0,0,0,6.12539,3.11915,0,0,9.58869,3.91752,0,0,26.1964
ABHD8,0,0,0,0.0540501,0,0,0,0,0.0556915,0,0,0,0.963025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI1,6.28849,8.15678,0,10.8103,0,8.02158,0.858997,73.6564,34.2161,0.137887,0.0360052,0,0.198588,0,59.2085,0.0613637,0,0.180482,0,0,0,0,20.5922,0,0,0,18.7591
ABI2,2.2065,28.3204,197.067,0.0836347,0.112376,0.200356,15.6225,0.531448,2.51389,5.7602,0.0257516,2.08628,18.6504,0,5.99733,4.95527,2.97561,2.40918,29.4746,0.687908,12092.2,1.11228,102.262,1.7458,154.415,1.2981,4.50459
ABI3,0,0,0.138004,0,0,3.53304,0,0,48.9869,0.299367,0,0,0,0.729365,66.8727,154.582,0,0,0,0,0.231196,0,0,0.821436,0,0,0
ABI3BP,0.336104,47.2962,0,0.329562,0.25685,1.22443,0.144054,1.26308,1.33819,1.18788,602.044,0,3.50229,0,143.095,650.165,0.284052,2.67698,14.2466,0.67666,0,86.0473,3.71889,54.7677,1.84663,1.86876,0
ABL1,0,0.0215205,5.92487,8.76488,45.83,0.0414675,0.0237811,1.84338,0.0469757,0,0,0,0.18077,0,20.0867,0,0,0,0,0,0,0,0,0.10426,0,0,22.4924
ABL2,5.92089,0.0223288,0.0174953,3.46543,0.10308,0.383092,0.751274,0.337457,1.00198,0,18.8874,0,0.373027,0.0469997,0.0525499,0.115912,0.0504191,3.16246,6.22827,2.80158,0.974568,1.8561,10.9556,0.566121,2.90606,0.2176,36.9173
ABLIM1,57.7461,96.2626,0,0.0664484,0,62.8204,6.43017,143.382,3.14709,0.125929,383.855,1081.23,0.269139,0.128276,285.981,93.2804,0.0843232,0.493235,0.316732,0.55237,0.391514,302.17,3.30861,0.181302,0.304343,0.181617,45.1635
ABLIM2,0,0,0.990432,0,38.6647,2.4606,0,0,0,0,0,0,0.147026,0,0,0,0,0,0,0,0,0,0,0,0.322899,0,13.0894
ABLIM3,161.293,0.0777431,0,0,0,0,0,0,0,0,1.17708,0,1.00014,0.29588,71.2853,93.7512,0,0,0,0,0,0,0,0,0,0.159788,5.0265
ABO,0,0,0,0,11.9072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR,219.368,84.8605,0.234293,0.16408,33.1518,135.095,114.603,0.589135,0.167594,0,0,0,1.38933,0,0,0,0,2.16091,0.895429,0.8265,0.539774,0,21.9426,0,0,0,1.27557
ABRA,0,0,0,0,0,0,0,0,0,0,0,0,0.128326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRACL,150.998,99.7019,351.164,158.108,105.247,1170.69,163.25,106.775,56.3125,0,0,0,0,0,0.431816,0,0,0,0,0.847517,0,0,0,0,0,0.492054,125.937
ABT1,206.529,0.0488473,150.707,47.4066,0.0520702,0.450556,153.486,76.716,23.6753,0.475313,0,0.123591,0.292048,172.372,4.44817,29.8049,0.165792,0.431,0.207717,0,0.190217,0,0,0,0,0,206.443
ABTB1,377.348,106.209,150.381,0.230745,0.428175,296.015,0.0253313,0.244918,0.0171295,0,0.957927,0,0.053713,0,0.420865,2.44209,0,0,0,0,0.260795,0,0,0,0,0,20.3856
ABTB2,0,0,0,0,0,0,0,0,0,0,0,0,0.120247,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28383
ACAA1,141.379,85.0039,120.021,0.248856,0.292959,874.099,0,1.72626,0.334061,0,0,0.866993,0.425734,0,43.3845,134.713,0.0650366,0.0903099,1.49958,0.332455,0.281851,0,2.02973,0,0.0706727,0.542347,56.5655
ACAA2,21.3562,0.0583438,0.0449448,93.105,150.82,365.305,14.4511,97.6432,126.146,0.292781,138.846,0,0,0,0.223753,104.036,0,0,0,0,0,0,0,0,0.231314,0,287.321
ACACA,0,0,0,24.9071,0,28.5528,0.160401,0.56978,0.248798,0.114574,0,0,2.40809,0,0,0,7.43225,17.42,8.36329,3.81675,2.97442,0.306415,23.5324,0,5.39881,0,192.292
ACACB,0.300321,0,0,4.11133,41.0197,0.858171,0,0.926829,1.74357,0,57.7961,0,2.14751,0,0.697425,0.11336,6.02895,42.0221,84.4968,7.2293,88.7755,9.38658,21.4006,2.60214,7.16863,5.42528,1.85183
ACAD10,0,0,0,0,0,233.353,0,0,0.0320024,0.22262,0,0,1.81785,0,0,0,0,0,0.719431,0,0.161913,0,0.794148,0,0,0.167162,3.00802
ACAD11,255.054,20.0308,0.194795,0.0244315,0,63.9907,0,0.0677198,0,0,0.767226,0,0.436173,0,8.3149,246.854,0,0,0.702191,0,0.950701,0,0.518048,0,0.152816,0,1.51934
ACAD8,184.952,0,0,39.0814,0,0,0,1.75332,0.434592,0,0,0.269344,2.36005,0,0,0,0,2.96172,1.14119,4.4325,0,2.13822,5.99244,0,1.15026,0.63798,21.4588
ACAD9,0.0590412,0.0696312,78.1091,0.0889225,0.359747,0.399459,12.6388,1.07051,20.1477,0.283618,6.33573,0.44575,1.00696,0,46.9873,0,0.776413,0,9.19923,0,0,0.30385,4.40176,0,0.98095,0,39.6899
ACADL,0,0,0,0,0,0,0,0,0,0,0,0,0.999214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,186.372,0.633369,60.0472,25.4962,0,0.661769,129.321,54.213,0.673376,0,0.94012,0,1.1621,39.6985,0,0,0,0,17.5875,0,0.305606,0,55.4356,0,0,0.798571,64.9386
ACADS,0,0,0,0.362318,0,0.273346,0.141902,0.436747,0.0535179,0,0,0,0.181841,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99739
ACADSB,0.398933,0,0.0781433,0.110567,0.0595269,0.317644,94.5721,1.08481,0.0397143,0,0.0257266,0,1.91097,0,0,14.2733,0,12.1815,0.177545,0,0,0,0.696598,0.174727,0.0383843,0,13.4163
ACADVL,312.441,434.462,11.1417,57.4008,115.89,3.81972,26.8486,211.879,173.407,0,846.891,0,2.73695,0,3.50223,1599.81,0,2.36651,3.20594,5.34254,0,3023.13,0,0,0,0,975.931
ACAN,0,0,0,0.0397844,0,0,0,0.113747,0.0793344,0.13696,0,0,0.963728,0,0.119487,0,0,0.396731,0.291163,0.356425,0,0,0.181937,0,0.129196,0.352335,0.260586
ACAP1,0,0,0,0.797899,0.0486426,895.671,0.155984,0.140611,10.3756,0.114105,0,0,1.30206,0,0,0.104819,0,5.55601,16.5666,114.044,0.245132,1.13349,0.897785,0,1.22032,0,0.215479
ACAP2,706.979,32.6104,37.1501,0.293321,0.117037,3.81388,0.102036,44.1996,12.5159,0,0,0.0708284,0.847605,0.626581,12.2252,0.23918,2.38895,1.44623,5.48345,36.5962,0.426693,6564.76,23.537,0,0.365356,0,175.053
ACAP3,0,0,0,0,0,0,0,0,0,0,0,0,0.120226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAT1,1.2466,357.94,0.508315,104.936,530.897,0.833977,1.1302,6.08433,175.622,1.10716,327.098,0,5.12632,1.91017,14.7768,0.786257,0.815867,1.31252,3.03979,0,0.924721,296.222,12.6729,0,2.20318,0,748.749
ACAT2,0,0.059004,151.058,82.6426,196.81,0.763531,0.174496,0.813789,56.211,0,0,0,0.393994,0,0,0,0,0,0,0,0,0,0,0.237788,0,0,156.152
ACBD3,30.1249,17.2875,0,0.54723,0,25.3195,2.08279,11.6244,2.46143,0.237862,0.0393419,167.628,0.164298,0.0619353,0.236903,0.0648164,0,0.437095,0.273632,0,0,0,0.149308,0,224.811,0,19.5173
ACBD4,93.5495,0.169221,103.387,0.194055,0,0.175507,0,21.9786,0.467054,0,0,0,0.940506,0,0,0,0,19.6058,3.93984,0.242167,0,14.3981,0.981387,2.84148,0.576055,0,1.71661
ACBD5,96.285,57.8583,70.1955,21.381,0.353477,0.0808899,0,16.6399,37.676,0,0,0.381023,0,0,1.05408,0.347577,0,0.151086,1.2519,3.99913,1.81449,0.635835,5.25935,0.0686113,0,0.0885352,26.6585
ACBD6,0.233773,0,101.112,0,24.5368,0.308758,110.838,0,29.288,0,215.714,0,0,0.764867,401.682,0,0,0,0.899468,0,0,0,0.430814,0,2.09249,0,233.583
